ID,NoD,TAP,LCP,DC,BC,CC,TZ,CD,RCD,SD,RSD,ND,NT,LCT,NAC,NC,NCZ,NAZ,NCC,BFN,FN,TFP,TFN,OSE,BCE,PDE,SV,OS,SDS,RS,TFS
apache/mahut,44,15.95,2.2727,0.008447,0.000255,22,10,5,11.3636,6,13.6363,0.257,28,6988,1466,3,39690,670,132300,0.88,0.00733,45.19,5,1,0,0,0,0,1,0,0
apache/cassandra,348,7.3,0.2873,0.00218,0.00000003,194,20,22,6.321,159,45.68,0.202,234,2906,11600,3,121460,3510,809733,0.93,0.066,49.7,9,1,1,1,0,1,1,0,0
apache/lucene-solr,181,12.83,0.55,0.00328,0.00000029,105,19,25,13.81215,39,21.54,0.32,247,7152,6033,3,164200,1621,103993,0.86,0.03917,47.31,10,1,1,0,0,1,1,0,0
apache/pig,32,23.13,3.125,0.204,0.00002,19,1,5,15.625,0,0,0.4,59,3071,1066,3,317300,3200,105766,0.84,0.0167,46.31,2,1,1,0,0,0,1,0,0
apache/jackrabbit,49,22,429,0.13,0.0000065,29,1,9,18.39,0,0,0.329,220,22268,2450,3,8558,49,470,0.816,0.042,33.97,3,1,1,0,0,0,1,0,0
apache/jena,66,14.08,1.44,0.01222,0.000028,37,15,6,8.69,22,33.33,0.23,66,436,23,4,509,6.53,2548,0.9,0.027,32.86,1,1,0,0,0,0,1,0,1
eclipse/cdt,249,9.28,0.4,0.0027,0.00000054,131,14,13,5.22,98,39.35,0.154,251,124,83,3,1852,28,8646,0.94,0.0413,48.37,9,0,0,1,0,1,0,0,0
ApacheDrill,178,10.103,0.5494,461,0.00017,51,14,14,2.74,59,32.92,0.226,6,212,91,3,242.71,21,1699,0.91,0.0052,47.37,8,0,0,1,0,1,1,0,0
ganttproject,31,9.8,3.22,0.1827,0.000243,14,8,14,6.45,4,12.9,0.253,30,206,7.75,4,320,5.125,641,0.54,0.0099,35.01,3,1,0,0,0,0,1,0,1
qemu/qemu,1613,8.1,0.071,0.00053,0.0000005,869,25,53,13.81,498,0.35,0.137,238,410,463,3,2590,96,21591,0.96,0.0415,49.02,21,1,1,0,0,1,0,0,0
nginx/ngin,62,8.1,1.58,0.0127,0.000034,34,12,7,11.11,21,34.92,0.248,507,22,21,3,540,7.4,2161,0.8888,0.084,27.64,1,1,0,0,0,0,1,0,0
bitcoin/bitcoin,739,5.3,0.132,0.00119,0.00000002,389,29,16,2.12,239,32.62,0.1025,212,101,377,3,1358,36,656,0.97,0.064,48.95,5,0,1,1,0,1,0,0,0
python/cpython,779,0.045,0.12,0.00095,0.00000001,430,22,38,4.58,185,23.79,0.1823,371,250,276,3,4291,49.45,34335,0.95,0.035,49.8,14,0,1,1,0,1,0,0,0
liferay,20,19,0.37,0.255,0.0007,13,10,10,66,7,66,0.5631,8,0,7,3,17.8,3.4,44,0.5,0.011,33.33,1,1,1,0,0,0,1,0,1
Thepracticaldev,82,0.104,0.08,0.0044,0.000006,60,17,31,26,35,0.42,0.64,0,0,59.5,2,57,6.8,600,0.62,0,27.63,2,1,1,0,0,0,0,0,1
floweisshardt/atf,10,0.1215,10.67,0.07,0.000656,3.37,3,1,11.11,6,55.5,0.2666,0,0,3,3,288,3.66,288,0.9,0,49.02,1,1,0,0,0,0,1,0,0
eclipse/b3,9,19.4,19.66,0.044,0.0019,4.74,5,4,11.1,1,44,0.47,0,0,4.5,2,318,2.6,796,0.55,0,48.91,1,1,1,0,0,0,0,0,1
eclipse/rdf4j-storage,27,30,1.77,0.017,0.0003,16,11,10,37,7,25,0.42,34,49,6.75,4,122,3.9,335,0.62,0.039,32.32,1,1,1,0,0,0,1,0,1
Equinoxprojectrepository,16,10.9,1.17,0.00089,0.00038,3.17,9,0,0,4,23,0.123,239,0.802,5,3,35.55,2.5,105,1,0,49.44,6,1,0,0,0,0,0,0,0
ApachejUDDI,17,14,15.7,0.223,0.00038,6.94,3,0,0,0,0,0.138,4,98.65,6.5,3,953,5.6,1429,1,0.0057,28.9,2,1,0,0,0,0,0,0,1
ApacheMavenJavadocPlugin,39,18,0.62,0.01388,0.0002,18,5,1,2.5,2,5.12,0.138,22,28.146,9.75,4,190,9.8,238,0.97,0.004,46.88,3,1,0,0,0,0,0,0,0
ApacheMavenShadePlugin,27,20,0.5,0.0158,0.00007,12,5,1,3.3,2,13.3,0.2338,2.9,9.9,9.6,2,67.14,5.4,156,0.96,0.007,37.74,4,1,0,0,0,0,0,0,0
cloudera,14,17,1.96,0.03351,0.002,9.76,6,9,64.2,4,28.5,0.626,344,82,7,2,64.16,3,192.5,0.35,0.222,39.55,1,1,1,0,0,1,0,0,1
ApacheAvro,27,9.77,0.23,0.00619,0.000018,41,14,3,0.035,39,0.464,0.1485,70,24,16.8,5,120,7.35,336,0.88,0.02,37.31,2,1,1,0,0,0,0,0,1
ApacheBeanValidation,12,27,7.3,0.0473,0.00042,0.769,5,5,41.6,0,0,0.435,1,0,4,3,210,3.6,350,0.8333,0.0006,17.14,2,1,1,0,0,0,1,0,0
ApacheCordovaAndroid,222,5.1,0.07,0.00301,0.00000012,98,22,2,0.88,110,49,0.07724,133,37.17,45,5,169,13,745,0.99,0.35,45.45,4,1,1,0,0,1,0,1,0
Apacheapache/ignite,289,22,0.29,0.00221,0.0000006,180,17,21,7.2,96,33,0.368,79,1098,96,3,1463,23.64,8295,0.92,0.27,46.98,7,0,1,1,0,1,1,0,0
ApacheEagle,37,16,0.76,0.0109,0.000068,28,5,14,37.8,18,37.8,0.415,4,290,18,3,209.4,12.4,523,0.62,0.004,41,3,0,1,0,0,0,1,0,1
ApacheEdgent,38,11,0.9,0.0122,0.000008,26,13,26,68.42,11,28.94,0.574,9,224,9.5,4,101,4.23,324,0.315,0.013,12.56,2,0,1,0,0,0,1,0,1
ApacheEmpire-db,13,20,6.21,0.05744,0.00046,7,4,2,15,3,30,0.33333,44,58,4.33,3,350,6.6,350,0.84,0.011,10.38,2,1,1,0,0,0,1,0,0
apache/spark,1887,4.9,0.006,0.00045,1.00E-10,1005,16,48,2.5,738,39,0.1268,81,275,629,3,1438,207,7673,0.6,0.027,47.71,8,1,1,1,0,1,0,0,1
ApacheGora,57,15.55,32.9,0.0058,0.000007,26,14,0,0,5,8.7,0.1635,16,50.78,19,3,76.57,4.9,357,1,0.0085,48,3,1,0,0,0,0,0,0,0
apache/flink,664,6.85,0.033,0.001212,0.000000003,340,19,13,1.95,280,42.1,0.125,71,485,166,4,784,44.3,3726,0.97,0.04,43.42,3,0,1,1,1,1,0,1,0
eclipse/openj9-omr,140,26.48,0.37,0.0039575,0.000003,94,15,51,36,69,49,0.484,534,127,70,2,348,14,2613,0.63,0.55,30.76,2,0,1,0,0,1,0,0,1
Rails,4664,4.19,0.15,0.00009,9.00E-12,2403,30,20,0.42,2018,43,0.0571,348,154,1554,3,2351,203,23510,0.99,0.068,48.42,13,1,1,1,0,1,0,0,0
Audacity,123,12.97,0.76,0.0067,0.0000078,60,12,7,5.69,27,21.95,0.2,19,550,30.75,4,781,13.41,2343,0.94,0.007,49.74,3,1,0,0,0,1,0,1,0
GitLab,2277,4.5,0.0154,0.000398,0.000000007,1198,29,42,1.77,565,28,0.094,899,60,1182,3,2972,107,43096,0.98,0.34,49.49,29,1,1,1,0,1,0,0,0
Scala,538,5.26,0.1,0.000181,0.00000006,282,22,13,2.4,180,33,0.109,128,504,179,3,1428,33.68,10478,0.9,0.023,48.15,5,0,1,1,0,1,0,0,0
